UserBadgeID,UserID,BadgeID,UnlockedDate,Points
1,1,1,15/11/2025,105
2,1,4,20/11/2025,210
3,2,1,18/11/2025,108
4,2,5,22/11/2025,85
5,3,2,25/11/2025,155
6,3,6,28/11/2025,82
7,4,1,30/11/2025,102
8,4,3,02/12/2025,125
9,5,7,05/12/2025,255
10,6,1,17/11/2025,110
11,6,4,25/11/2025,205
12,7,2,29/11/2025,152
13,7,5,03/12/2025,88
14,8,3,01/12/2025,122
15,8,6,06/12/2025,84
16,9,7,08/12/2025,260
17,10,1,21/11/2025,107
18,10,4,30/11/2025,208
19,11,2,02/12/2025,158
20,12,5,04/12/2025,86
21,13,3,07/12/2025,128
22,14,6,09/12/2025,81
23,15,7,10/12/2025,265
24,16,1,24/11/2025,112
25,17,2,27/11/2025,149
26,18,3,03/12/2025,124
27,19,4,06/12/2025,215
28,20,5,08/12/2025,89
29,21,6,26/11/2025,83
30,22,7,28/11/2025,258
31,23,1,01/12/2025,109
32,24,2,04/12/2025,154
33,25,3,07/12/2025,126
34,26,4,09/12/2025,212
35,27,5,23/11/2025,87
36,28,6,25/11/2025,80
37,29,7,02/12/2025,262
38,30,1,05/12/2025,111
39,31,2,08/12/2025,157
40,32,3,19/11/2025,121
41,33,4,22/11/2025,207
42,34,5,24/11/2025,84
43,35,6,26/11/2025,79
44,36,7,29/11/2025,259
45,37,1,03/12/2025,113
46,38,2,06/12/2025,151
47,39,3,09/12/2025,127
48,40,4,18/11/2025,209
49,1,2,10/12/2025,160
50,2,3,11/12/2025,130
