ActivityID,UserID,ActivityType,Value,Goal,RecordedDate
1,1,STEPS,8500,10000,01/12/2025
2,1,WATER,1.8,2,01/12/2025
3,1,EXERCISE,45,30,01/12/2025
4,1,SLEEP,7.2,8,01/12/2025
5,2,STEPS,12000,10000,01/12/2025
6,2,WATER,2.5,2,01/12/2025
7,2,EXERCISE,60,30,01/12/2025
8,2,SLEEP,8.5,8,01/12/2025
9,3,STEPS,6500,10000,01/12/2025
10,3,WATER,1.2,2,01/12/2025
11,3,EXERCISE,20,30,01/12/2025
12,3,SLEEP,6.5,8,01/12/2025
13,4,STEPS,9500,10000,01/12/2025
14,4,WATER,2.2,2,01/12/2025
15,4,EXERCISE,50,30,01/12/2025
16,4,SLEEP,7.8,8,01/12/2025
17,5,STEPS,5500,10000,01/12/2025
18,5,WATER,1,2,01/12/2025
19,5,EXERCISE,15,30,01/12/2025
20,5,SLEEP,5.5,8,01/12/2025
21,6,STEPS,11000,10000,01/12/2025
22,6,WATER,2.8,2,01/12/2025
23,6,EXERCISE,75,30,01/12/2025
24,6,SLEEP,9,8,01/12/2025
25,7,STEPS,7800,10000,01/12/2025
26,7,WATER,1.5,2,01/12/2025
27,7,EXERCISE,35,30,01/12/2025
28,7,SLEEP,7,8,01/12/2025
29,8,STEPS,9200,10000,01/12/2025
30,8,WATER,2,2,01/12/2025
31,8,EXERCISE,55,30,01/12/2025
32,8,SLEEP,7.5,8,01/12/2025
33,9,STEPS,4800,10000,01/12/2025
34,9,WATER,0.8,2,01/12/2025
35,9,EXERCISE,10,30,01/12/2025
36,9,SLEEP,4.5,8,01/12/2025
37,10,STEPS,10200,10000,01/12/2025
38,10,WATER,2.3,2,01/12/2025
39,10,EXERCISE,65,30,01/12/2025
40,10,SLEEP,8.2,8,01/12/2025
41,1,STEPS,8800,10000,02/12/2025
42,1,WATER,1.9,2,02/12/2025
43,1,EXERCISE,50,30,02/12/2025
44,1,SLEEP,7.5,8,02/12/2025
45,2,STEPS,11500,10000,02/12/2025
46,2,WATER,2.6,2,02/12/2025
47,2,EXERCISE,70,30,02/12/2025
48,2,SLEEP,8.8,8,02/12/2025
49,3,STEPS,6200,10000,02/12/2025
50,3,WATER,1.3,2,02/12/2025
51,3,EXERCISE,25,30,02/12/2025
52,3,SLEEP,6.8,8,02/12/2025
53,4,STEPS,9700,10000,02/12/2025
54,4,WATER,2.1,2,02/12/2025
55,4,EXERCISE,55,30,02/12/2025
56,4,SLEEP,8,8,02/12/2025
57,5,STEPS,5800,10000,02/12/2025
58,5,WATER,1.1,2,02/12/2025
59,5,EXERCISE,18,30,02/12/2025
60,5,SLEEP,5.8,8,02/12/2025
61,6,STEPS,10800,10000,02/12/2025
62,6,WATER,2.7,2,02/12/2025
63,6,EXERCISE,80,30,02/12/2025
64,6,SLEEP,8.9,8,02/12/2025
65,7,STEPS,8200,10000,02/12/2025
66,7,WATER,1.7,2,02/12/2025
67,7,EXERCISE,40,30,02/12/2025
68,7,SLEEP,7.3,8,02/12/2025
69,8,STEPS,9400,10000,02/12/2025
70,8,WATER,2.2,2,02/12/2025
71,8,EXERCISE,60,30,02/12/2025
72,8,SLEEP,7.7,8,02/12/2025
73,9,STEPS,5100,10000,02/12/2025
74,9,WATER,0.9,2,02/12/2025
75,9,EXERCISE,12,30,02/12/2025
76,9,SLEEP,4.8,8,02/12/2025
77,10,STEPS,10500,10000,02/12/2025
78,10,WATER,2.4,2,02/12/2025
79,10,EXERCISE,75,30,02/12/2025
80,10,SLEEP,8.5,8,02/12/2025
81,11,STEPS,8900,10000,01/12/2025
82,11,WATER,1.6,2,01/12/2025
83,11,EXERCISE,42,30,01/12/2025
84,11,SLEEP,7.1,8,01/12/2025
85,12,STEPS,11300,10000,01/12/2025
86,12,WATER,2.9,2,01/12/2025
87,12,EXERCISE,85,30,01/12/2025
88,12,SLEEP,9.2,8,01/12/2025
89,13,STEPS,6700,10000,01/12/2025
90,13,WATER,1.4,2,01/12/2025
91,13,EXERCISE,28,30,01/12/2025
92,13,SLEEP,6.9,8,01/12/2025
93,14,STEPS,9800,10000,01/12/2025
94,14,WATER,2.3,2,01/12/2025
95,14,EXERCISE,58,30,01/12/2025
96,14,SLEEP,8.1,8,01/12/2025
97,15,STEPS,5900,10000,01/12/2025
98,15,WATER,1.2,2,01/12/2025
99,15,EXERCISE,22,30,01/12/2025
100,15,SLEEP,6,8,01/12/2025
